shop_id,shop_name_translated
0,"!Yakutsk Ordzhonikidze, 56 francs"
1,"!Yakutsk shopping center ""Central"" franc"
2,"Adygea shopping center ""Mega"""
3,"Balashikha  ""October-Kinomir"""
4,"Volzhsky shopping center ""Volga Mall"""
5,"Vologda shopping center ""Marmalade"""
6,"Voronezh (Plekhanovskaya, 13)"
7,"Voronezh shopping center ""Maksimir"""
8,"Voronezh shopping center City-Park ""Grad"""
9,Outbound Trade
10,Zhukovsky Str. Chkalov 39m?
11,Zhukovsky Str. Chkalov 39m²
12,Online shop Emergency
13,"Kazan shopping center ""Behetle"""
14,"Kazan shopping center ""ParkHaus"" II"
15,"Kaluga shopping center ""XXI Century"""
16,"Colosseum ""Rio"""
17,"Krasnoyarsk shopping center ""Vzletka Plaza"""
18,"Krasnoyarsk shopping center ""June"""
19,"Kursk shopping center ""Pushkinsky"""
20,"Moscow ""Sale"""
21,"Moscow MTRC ""Afi Mall"""
22,Moscow Shop С21
23,"Moscow shopping mall ""Budenovskiy"" (pav.A2)"
24,"Moscow shopping mall ""Budenovskiy"" (pav.K7)"
25,"Moscow TRK ""Atrium"""
26,"Moscow shopping center ""Areal"" (Belyaevo)"
27,"Moscow shopping center ""MEGA Belaya Dacha II"""
28,"Moscow shopping center ""MEGA Teply Stan"" II"
29,"Moscow shopping center ""New Century"" (Novokosino)"
30,"Moscow shopping center ""Perlovski"""
31,"Moscow shopping center ""Semenovsky"""
32,"Moscow shopping center ""Silver House"""
33,"Mytishchi Broadcasting Company ""XL-3"""
34,"N. Novgorod shopping and entertainment center ""RIO"""
35,"N. Novgorod shopping and entertainment center ""Fantastic"""
36,"Novosibirsk shopping and entertainment center ""Gallery Novosibirsk"""
37,"Novosibirsk shopping center ""Mega"""
38,"Omsk shopping center ""Mega"""
39,"RostovNaDonu Broadcasting Company ""Megacenter Horizon"""
40,"RostovNaDonu Broadcasting Company ""Megacenter Horizon"" Island"
41,"RostovNaDonu shopping center ""Mega"""
42,"SPb TC ""Nevsky Center"""
43,"SPb TC ""Sennaya"""
44,"Samara Shopping Center ""Melody"""
45,"Samara Shopping Center ""ParkHaus"""
46,"Sergiev Posad Shopping Center ""7YA"""
47,"Surgut shopping and entertainment center ""City Mall"""
48,"Tomsk shopping and entertainment center ""Emerald City"""
49,"Tyumen shopping center ""Crystal"""
50,"Tyumen shopping center ""Goodwin"""
51,"Tyumen shopping center ""Green Beach"""
52,"Ufa shopping mall ""Central"""
53,"Ufa shopping center ""Family"" 2"
54,"Khimki shopping center ""Mega"""
55,Digital warehouse 1C-Online
56,"Chekhov shopping center ""Carnival"""
57,"Yakutsk Ordzhonikidze, 56"
58,"Yakutsk shopping center ""Central"""
59,"Yaroslavl Shopping center ""Altair"""
